Community Name,TCAD or WCAD Property ID(s),Audit Date,Percent Duct Leakage,Recommended Duct Leakage,Attic R-Value,Window Screens,Year Built,Common Laundry,Utilities,Total Units,Community EUI (kWh/sqft/yr),As of,Street Address
Barton Hills Park Place,104150,03/15/2011 12:00:00 AM,75%,15%,N\A,Needed,1970,Yes,Electric,252,8.95,02/26/2016 12:00:00 AM,"1200 Barton Hills Drive
Austin, TX 78704
(30.261604, -97.774254)"
Oak Park Apartments,218409,01/05/2011 12:00:00 AM,75%,15%,N\A,Needed,1972,Yes,Electric,196,8.72,02/26/2016 12:00:00 AM,"4505 Duval St
Austin, TX 78751
(30.307654, -97.724184)"
Canyon Villas Apts,229154,05/21/2011 12:00:00 AM,56%,15%,15,Complete,1968,Yes,Gas and Electric,5,8.98,02/26/2016 12:00:00 AM,"7100 GRAND CANYON DR
Austin, TX 78752
(30.327631, -97.694615)"
700 Nelray,226523,08/12/2011 12:00:00 AM,10%,10%,30,Needed,1983,Yes,Electric,12,10.2,02/26/2016 12:00:00 AM,"700 Nelray Blvd
Austin, TX 78751
(30.322318, -97.727058)"
Rutland Place,251517,02/14/2011 12:00:00 AM,62%,15%,12,Needed,1982,Yes,Electric,169,11.59,02/26/2016 12:00:00 AM,"1711 Rutland Drive
Austin, TX 78758
(30.375064, -97.711493)"
Magnolia Court,228182,08/10/2011 12:00:00 AM,17%,10%,14,Needed,1984,Yes,Electric,236,10.55,02/26/2016 12:00:00 AM,"1114 Camino La
Costa Austin, TX 78752
(30.324, -97.69796)"
Madison at Stone Creek,R330928,04/13/2011 12:00:00 AM,12.8%,15%,9,Needed,1995,Yes,Electric,390,12.13,02/26/2016 12:00:00 AM,"6800 Mcneil Dr
Austin, TX 78729
(30.43807, -97.758372)"
Tom Thumb Apartments,215799,05/10/2011 12:00:00 AM,75%,15%,N\A,Needed,1967,Yes,Electric,12,11.26,02/26/2016 12:00:00 AM,"4209 Speedway
Austin, TX 78751
(30.306016, -97.730088)"
The Vue,442507,07/22/2015 12:00:00 AM,6.4%,10%,32,Complete,1999,Yes,Gas and Electric,156,9.7,02/26/2016 12:00:00 AM,"7607 Blessing Ave
Austin, TX 78752
(30.333707, -97.691929)"
Limestone Canyon,762316,04/01/2011 12:00:00 AM,11.2%,15%,18,Complete,1999,Yes,Gas and Electric,260,9.11,02/26/2016 12:00:00 AM,"12118 Walnut Park Crossing
Austin, TX 78753
(30.393074, -97.676454)"
Sao Paulo Dos,199644,06/01/2011 12:00:00 AM,39%,10%,7,Needed,1982,Yes,Gas and Electric,8,9.19,02/26/2016 12:00:00 AM,"1214 Baylor St
Austin, TX 78703
(30.27828, -97.751894)"
Hunter's Chase Apartments,R065344,05/27/2011 12:00:00 AM,10.9%,15%,30,Complete,1983,No,Electric,210,13.97,02/26/2016 12:00:00 AM,"12343 Hunter's Chase Dr
Austin, TX 78729
(30.442896, -97.770501)"
,106926,01/31/2011 12:00:00 AM,,N\A,N\A,Needed,1977,Yes,Electric,12,14.55,02/26/2016 12:00:00 AM,"1115 W 9th St
Austin, TX 78703
(30.274711, -97.754988)"
Deerfield Apartments,447476,07/12/2013 12:00:00 AM,9.3%,10%,23,Needed,2000,Yes,Electric,323,7.66,02/26/2016 12:00:00 AM,"8700 Brodie Lane
Austin, TX 78745
(30.196879, -97.841338)"
Northwest Hills Apartments,138273,03/16/2011 12:00:00 AM,10.7%,15%,11,Needed,1978,Yes,Electric,314,8.5,02/26/2016 12:00:00 AM,"3600 Greystone Dr
Austin, TX 78731
(30.358227, -97.751975)"
The Park At Monterey Oaks,464973,04/19/2012 12:00:00 AM,7.1%,15%,14,Complete,1994,No,Gas and Electric,430,11.18,02/26/2016 12:00:00 AM,"4701 Monterey
Oaks Austin, TX 78749
(30.231452, -97.838828)"
Archway Apartments,205396,05/24/2011 12:00:00 AM,62%,10%,N\A,Complete,1963,No,Electric,48,13.48,02/26/2016 12:00:00 AM,"2504 Manor Rd
Austin, TX 78722
(30.284831, -97.71576)"
Lindy'S Landing,310851,05/18/2011 12:00:00 AM,13%,10%,14,Needed,1985,Yes,Electric,53,15.44,02/26/2016 12:00:00 AM,"121 Woodward Street
Austin, TX 78704
(30.228744, -97.758274)"
Tanglewood North,216425,05/19/2011 12:00:00 AM,59%,15%,10,Complete,1963,No,Gas and Electric,126,3.22,02/26/2016 12:00:00 AM,"1020 E 45Th St
Austin, TX 78751
(30.303602, -97.716841)"
Canyon Villas Apts,229153,05/21/2011 12:00:00 AM,56%,15%,15,Complete,1968,Yes,Electric,4,6.06,02/26/2016 12:00:00 AM,"7110 GRAND CANYON DR
Austin, TX 78752
(30.327893, -97.694467)"
Hillside Place,551506,05/17/2011 12:00:00 AM,68%,10%,3,Complete,1973,Yes,Electric,81,11.83,02/26/2016 12:00:00 AM,"4821 E Riverside Dr
Austin, TX 78741
(30.231573, -97.717449)"
3004 S 1 ST,307493,02/27/2013 12:00:00 AM,50%,10%,10,Needed,1975,Yes,Gas and Electric,8,8.39,02/26/2016 12:00:00 AM,"3004 S 1 ST
Austin, TX 78704
(30.234998, -97.764127)"
Red Oak Apartments,112568,02/21/2011 12:00:00 AM,,N\A,17,Needed,1972,Yes,Electric,37,9.84,02/26/2016 12:00:00 AM,"2104 San Gabriel St
Austin, TX 78705
(30.284954, -97.748143)"
Beverly Apartments,242748,01/28/2011 12:00:00 AM,52%,10%,15,Needed,1967,Yes,Gas and Electric,26,10.42,02/26/2016 12:00:00 AM,"8400 Beech Drive
Austin, TX 78758
(30.357916, -97.71463)"
Mark Embers,210209,01/06/2011 12:00:00 AM,8.8%,10%,N\A,Complete,1964,No,Gas and Electric,12,8.02,02/26/2016 12:00:00 AM,"3101 Cedar St
Austin, TX 78705
(30.295866, -97.737756)"
Avesta Agave Falls,230724,11/18/2010 12:00:00 AM,39%,10%,8,Complete,1973,Yes,Electric,188,10.87,02/26/2016 12:00:00 AM,"1901 E Anderson Ln
Austin, TX 78752
(30.329512, -97.680479)"
Fort Branch @ Trumans Landing,783949,12/19/2012 12:00:00 AM,10.9%,15%,18,Complete,2002,Yes,Electric,250,9.6,02/26/2016 12:00:00 AM,"5800 Technicenter Dr
Austin, TX 78721
(30.278442, -97.672073)"
Circle Villa Apts,285497,05/29/2013 12:00:00 AM,11.4%,10%,18,Needed,1971,Yes,Electric,41,7.32,02/26/2016 12:00:00 AM,"2323 Town Lake Circle
Austin, TX 78741
(30.239233, -97.72342)"
204 E 30 St,210433,05/20/2011 12:00:00 AM,29%,10%,6,Needed,1950,No,Electric,8,10.8,02/26/2016 12:00:00 AM,"204 E 30 St
Austin, TX 78705
(30.29341, -97.736338)"
The Dipomat,203752,02/22/2011 12:00:00 AM,29%,10%,22,Needed,1964,Yes,Gas and Electric,13,6.44,02/26/2016 12:00:00 AM,"1911 San
Gabriel Austin, TX 78705
(30.283162, -97.743081)"
Silver Springs Apartments,258615,05/27/2011 12:00:00 AM,21%,10%,22,Needed,1996,Yes,Electric,360,9.33,02/26/2016 12:00:00 AM,"12151 N Ih
Austin, TX 78753
(30.394864, -97.671406)"
Eastfield Avenue 1-5,199095,10/28/2014 12:00:00 AM,,N\A,N\A,Needed,1958,No,Gas and Electric,5,17.38,02/26/2016 12:00:00 AM,"1161 EASTFIELD AVE
Austin, TX 78721
(30.277595, -97.685517)"
Swedish Hill Apartments,198366,05/19/2011 12:00:00 AM,24%,10%,13,Needed,1985,Yes,Electric,7,11.23,02/26/2016 12:00:00 AM,"1009 East 16th St
Austin, TX 78702
(30.27629, -97.729085)"
Kensington Terrace Apartments,227621,01/05/2011 12:00:00 AM,43%,10%,N\A,Complete,1971,Yes,Gas and Electric,137,6.36,02/26/2016 12:00:00 AM,"2200 W North Loop
Austin, TX 78756
(30.325704, -97.741155)"
Milton Dowd Apts.,215952,03/04/2011 12:00:00 AM,31%,10%,N\A,Needed,1970,No,Gas and Electric,8,7.2,02/26/2016 12:00:00 AM,"312 E 43rd St
Austin, TX 78751
(30.305154, -97.727215)"
4409 Avenue A 78751,217991,03/17/2011 12:00:00 AM,21%,10%,11,Needed,1967,No,Gas and Electric,12,7.28,02/26/2016 12:00:00 AM,"4409 Avenue
A Austin, TX 78751
(30.30994, -97.73235)"
TowerView Apartments,206936,04/30/2011 12:00:00 AM,37%,10%,N\A,Needed,1962,Yes,Gas and Electric,20,7.62,02/26/2016 12:00:00 AM,"926 E Dean
Keaton Austin, TX 78705
(30.287404, -97.727171)"
Jefferson At Quarry Oaks,375891,05/26/2011 12:00:00 AM,32%,15%,27,Needed,1996,Yes,Gas and Electric,533,8.62,02/26/2016 12:00:00 AM,"6263 Mcneil Drive
Austin, TX 78729
(30.441833, -97.747609)"
Woodland Corners Apartments,248720,03/28/2011 12:00:00 AM,6.6%,10%,30,Complete,1973,Yes,Electric,64,17.24,02/26/2016 12:00:00 AM,"9008 Galewood Dr
Austin, TX 78758
(30.367692, -97.714924)"
Gables West Avenue Lofts,487162,04/22/2011 12:00:00 AM,45%,15%,25,Needed,2001,Yes,Gas and Electric,193,5.84,02/26/2016 12:00:00 AM,"300 West Avenue
Austin, TX 78701
(30.268009, -97.751431)"
Northgate Terrace,248733,05/20/2011 12:00:00 AM,25%,10%,15,Complete,1984,Yes,Electric,48,16.5,02/26/2016 12:00:00 AM,"1814 Colony Creek Dr
Austin, TX 78758
(30.369579, -97.715886)"
1100 BLANCO ST,106914,12/12/2012 12:00:00 AM,15%,10%,11,Needed,1962,No,Gas and Electric,7,10.21,02/26/2016 12:00:00 AM,"1100 BLANCO ST
Austin, TX 78703
(30.277063, -97.754531)"
Woods At Manchaca,308102,08/05/2013 12:00:00 AM,18%,10%,17,Complete,1984,No,Gas and Electric,42,7.64,02/26/2016 12:00:00 AM,"4013 Manchaca Road
Austin, TX 78704
(30.232802, -97.786388)"
Guadalupe Plaza,226677,04/25/2011 12:00:00 AM,,N\A,9,Needed,1971,Yes,Gas and Electric,17,9.68,02/26/2016 12:00:00 AM,"5300 Guadalupe
Austin, TX 78751
(30.320208, -97.726816)"
Southern Oaks apts.,303899,04/01/2011 12:00:00 AM,,N\A,19,Needed,1972,No,Electric,12,14.16,02/26/2016 12:00:00 AM,"2407 S 5th
Austin, TX 78704
(30.243101, -97.764645)"
Bouldin Creek Apartments,100282,01/06/2011 12:00:00 AM,11.4%,15%,30,Complete,1966,Yes,Gas and Electric,46,7.25,02/26/2016 12:00:00 AM,"1217 W Mary
Austin, TX 78704
(30.249362, -97.766499)"
Lorrain Apartments,109040,01/07/2011 12:00:00 AM,41%,10%,11,Needed,1960,Yes,Electric,28,6.4,02/26/2016 12:00:00 AM,"1401 Enfield Rd
Austin, TX 78703
(30.281443, -97.755284)"
Oak Hollow Apartments,242225,05/02/2011 12:00:00 AM,65%,15%,6,Needed,1972,Yes,Gas and Electric,409,8.97,02/26/2016 12:00:00 AM,"7201 Wood Hollow Dr
Austin, TX 78731
(30.354926, -97.752186)"
Penny Land Apartments,245986,04/30/2011 12:00:00 AM,20%,10%,10,Needed,1971,Yes,Electric,20,10.96,02/26/2016 12:00:00 AM,"2602 Penny Ln
Austin, TX 78757
(30.365736, -97.730819)"
Capitol Steps Apartments,220631,04/08/2011 12:00:00 AM,70%,10%,12,Needed,1969,Yes,Gas and Electric,50,8.49,02/26/2016 12:00:00 AM,"5211 Cameron Rd
Austin, TX 78723
(30.310533, -97.708243)"
Dominion at Riata,440078,12/01/2010 12:00:00 AM,55%,15%,21,Complete,1999,Yes,Gas and Electric,152,7.58,02/26/2016 12:00:00 AM,"12340 Alameda Trace Circle
Austin, TX 78727
(30.431004, -97.747385)"
The Meridian Apartments,250063,11/23/2010 12:00:00 AM,23%,15%,21,Needed,1985,Yes,Electric,200,10.99,02/26/2016 12:00:00 AM,"1930 W Rundberg Ln
Austin, TX 78758
(30.372934, -97.71746)"
Mauna Kai Austin,208517,05/06/2011 12:00:00 AM,75%,10%,10,Needed,1962,Yes,Electric,43,6.53,02/26/2016 12:00:00 AM,"405 E 31st
Austin, TX 78705
(30.293033, -97.734097)"
Camden Huntingdon,264708,03/01/2011 12:00:00 AM,23%,10%,25,Complete,1995,No,Electric,399,11.2,02/26/2016 12:00:00 AM,"12349 Metric Blvd
Austin, TX 78758
(30.410274, -97.695947)"
Terracina Apartments,442703,05/04/2011 12:00:00 AM,28%,15%,9,Complete,1971,Yes,Electric,170,10.07,02/26/2016 12:00:00 AM,"8100 N Mopac
Expway Austin, TX 78759
(30.365793, -97.743549)"
Quail Park Village,252113,04/08/2011 12:00:00 AM,28%,10%,30,Complete,1976,Yes,Gas and Electric,46,6.26,02/26/2016 12:00:00 AM,"9900 Quail Blvd
Austin, TX 78758
(30.372002, -97.700715)"
Elms Apartments,225443,10/08/2010 12:00:00 AM,12%,10%,8,Needed,1967,Yes,Gas and Electric,25,8.22,02/26/2016 12:00:00 AM,"600 E 53rd st
Austin, TX 78751
(30.315667, -97.717036)"
Warren House Apartments,285501,05/27/2011 12:00:00 AM,,N\A,13,Needed,1978,Yes,Electric,39,10.53,02/26/2016 12:00:00 AM,"2439 Town Lake Circle
Austin, TX 78741
(30.23967, -97.722026)"
Mission Gracewoods,289709,05/04/2011 12:00:00 AM,13.7%,15%,11,Needed,1981,Yes,Electric,180,12.4,02/26/2016 12:00:00 AM,"3209 S IH
Austin, TX 78741
(30.224812, -97.746035)"
Chase Village Apartments,236540,05/21/2011 12:00:00 AM,28%,10%,16,Needed,1980,Yes,Electric,129,12,02/26/2016 12:00:00 AM,"8028 Gessner
Austin, TX 78753
(30.344109, -97.702124)"
Canyon Villa Apts,229155,05/21/2011 12:00:00 AM,56%,10%,15,Needed,1967,Yes,Electric,16,17.26,02/26/2016 12:00:00 AM,"7090 GRAND CANYON DR
Austin, TX 78752
(30.32739, -97.694722)"
The Woods On Barton Skyway,104317,02/07/2011 12:00:00 AM,31%,15%,7,Needed,1978,Yes,Gas and Electric,278,10.45,02/26/2016 12:00:00 AM,"2901 Barton Skyway
Austin, TX 78746
(30.25908, -97.788545)"
Country Club Creek,445755,12/18/2012 12:00:00 AM,7.6%,15%,30,Needed,1997,Yes,Electric,23,5.93,02/26/2016 12:00:00 AM,"4600 SHERINGHAM DR
Austin, TX 78741
(30.229877, -97.721852)"
Le Med Apartments,217817,10/14/2010 12:00:00 AM,26%,10%,N\A,Complete,1971,Yes,Gas and Electric,88,7.77,02/26/2016 12:00:00 AM,"1200 W 40Th St
Austin, TX 78756
(30.308885, -97.743645)"
Siesta Place,216063,05/10/2011 12:00:00 AM,9.6%,15%,30,Complete,1967,Yes,Electric,12,8.48,02/26/2016 12:00:00 AM,"609 E 45Th St
Austin, TX 78751
(30.306375, -97.722984)"
2125 E. Cesar Chavez St.,189306,04/25/2011 12:00:00 AM,,N\A,24,Needed,1908,No,Electric,9,9.08,02/26/2016 12:00:00 AM,"2125 E Cesar Chavez St
Austin, TX 78702
(30.255868, -97.721044)"
The Element I,285454,04/22/2011 12:00:00 AM,9.8%,15%,38,Complete,1972,No,Electric,149,11.06,02/26/2016 12:00:00 AM,"1500 Royal Crest Dr
Austin, TX 78741
(30.240639, -97.729702)"
Club Creek,249290,04/22/2011 12:00:00 AM,7.1%,15%,30,Needed,1984,No,Electric,158,10.79,02/26/2016 12:00:00 AM,"502 W Longspur Blvd
Austin, TX 78753
(30.366623, -97.692112)"
Cherry Creek,511097,01/24/2011 12:00:00 AM,29.4%,15%,17,Needed,1985,Yes,Electric,72,13.05,02/26/2016 12:00:00 AM,"2048 West Stassney
Austin, TX 78745
(30.216447, -97.799105)"
Elm Ridge Apartments,198899,04/19/2011 12:00:00 AM,9%,10%,29,Complete,1974,Yes,Gas and Electric,130,10.21,02/26/2016 12:00:00 AM,"1611 Harvey Lane
Austin, TX 78702
(30.279364, -97.70496)"
Heritage At Hillscrest,220502,05/13/2011 12:00:00 AM,24%,10%,30,Complete,1992,Yes,Electric,202,9.53,02/26/2016 12:00:00 AM,"1200 Broadmoor Dr
Austin, TX 78723
(30.310773, -97.706273)"
Fairway Village Apartments,"288145, 288146",04/21/2011 12:00:00 AM,39%,15%,N\A,Complete,1974,No,Electric,128,7.53,02/26/2016 12:00:00 AM,"6118 Fairway Dr
Austin, TX 78741
(30.228823, -97.703189)"
502 W. 17th Street Apartments,199777,02/18/2011 12:00:00 AM,26%,10%,N\A,Needed,1984,No,Electric,11,10.36,02/26/2016 12:00:00 AM,"502 W 17th St
Austin, TX 78701
(30.28015, -97.743813)"
Raintree,244849,03/18/2011 12:00:00 AM,44%,10%,6,Needed,1972,Yes,Gas and Electric,34,5.15,02/26/2016 12:00:00 AM,"8806 Redfield Lane
Austin, TX 78758
(30.362784, -97.711967)"
Casa Del Norte,229683,06/30/2011 12:00:00 AM,75%,10%,12,Needed,1972,Yes,Electric,16,12.76,02/26/2016 12:00:00 AM,"5406 Jeff Davis Ave
Austin, TX 78756
(30.327751, -97.738245)"
Kinney Avenue Apartments,100250,02/01/2011 12:00:00 AM,16%,10%,13,Complete,1996,Yes,Electric,10,10.12,02/26/2016 12:00:00 AM,"1703 Kinney Ave
Austin, TX 78704
(30.252807, -97.767885)"
Congress Square,188629,05/25/2011 12:00:00 AM,30%,10%,N\A,Needed,1971,Yes,Electric,115,8.55,02/26/2016 12:00:00 AM,"500 S Congress Ave
Austin, TX 78704
(30.256564, -97.74709)"
"304 E 34 ST, Austin TX, 78705",211502,10/29/2012 12:00:00 AM,20%,10%,19,Needed,1971,Yes,Electric,8,9.78,02/26/2016 12:00:00 AM,"304 E 34 ST
Austin, TX 78705
(30.297376, -97.732981)"
Delmar Apartments,212915,05/18/2011 12:00:00 AM,,N\A,N\A,Needed,1973,Yes,Electric,11,10.33,02/26/2016 12:00:00 AM,"400 W 34th St
Austin, TX 78705
(30.299559, -97.738002)"
501 Deen Ave Apartment,241810,03/25/2013 12:00:00 AM,,N\A,11,Needed,1972,No,Electric,14,11.37,02/26/2016 12:00:00 AM,"501 Deen Ave
Austin, TX 78753
(30.355082, -97.700028)"
SOMERSET,208372,12/30/2012 12:00:00 AM,19%,15%,12,Needed,1931,No,Gas and Electric,16,9.63,02/26/2016 12:00:00 AM,"2800 WHITIS AVE
Austin, TX 78705
(30.293222, -97.740184)"
Mission Tanglewood,342618,05/06/2011 12:00:00 AM,11%,15%,17,Needed,1985,Yes,Electric,196,12.23,02/26/2016 12:00:00 AM,"2915 Aftonshire Way
Austin, TX 78748
(30.180834, -97.83777)"
Gatewood North (Lantana Trace I),250110,05/10/2010 12:00:00 AM,53%,15%,N\A,Needed,1972,Yes,Electric,55,11.51,02/26/2016 12:00:00 AM,"1830 W RUNDBERG LN
Austin, TX 78758
(30.371756, -97.71498)"
Riata At Arrow Wood,427439,12/02/2010 12:00:00 AM,61%,15%,30,Complete,1997,Yes,Gas and Electric,300,7.88,02/26/2016 12:00:00 AM,"12370 Alameda Trace Circle
Austin, TX 78759
(30.432192, -97.746563)"
Apartments at 409 E Monroe,283288,05/31/2011 12:00:00 AM,28%,10%,19,Needed,1906,Yes,Gas and Electric,6,5.51,02/26/2016 12:00:00 AM,"409 E Monroe
Austin, TX 78704
(30.246843, -97.746751)"
Great Oaks Apartments,206950,06/04/2011 12:00:00 AM,75%,15%,N\A,Needed,1971,Yes,Electric,34,3.83,02/26/2016 12:00:00 AM,"2900 Swisher St
Austin, TX 78705
(30.288451, -97.725853)"
1300 E. CESAR CHAVEZ ST.,191828,04/26/2011 12:00:00 AM,,N\A,12,Needed,1910,No,Electric,7,10.75,02/26/2016 12:00:00 AM,"1300 E CESAR CHAVEZ ST
Austin, TX 78702
(30.259498, -97.731463)"
915 W. 21st,203753,04/06/2011 12:00:00 AM,,N\A,N\A,Needed,1938,No,Electric,12,10.47,02/26/2016 12:00:00 AM,"915 W 21st
Austin, TX 78705
(30.284848, -97.747898)"
Legacy At Western Oaks,331645,02/08/2011 12:00:00 AM,43%,15%,28,Complete,2001,No,Gas and Electric,479,7.18,02/26/2016 12:00:00 AM,"8801 La
Cresada Austin, TX 78749
(30.206425, -97.865)"
Villa Esperanza,217990,02/01/2011 12:00:00 AM,21%,10%,N\A,Needed,1972,Yes,Gas and Electric,29,10.38,02/26/2016 12:00:00 AM,"4310 Ave
B Austin, TX 78751
(30.30838, -97.73215)"
Park Plaza Properties,239727,06/02/2011 12:00:00 AM,19%,10%,20,Needed,1982,Yes,Electric,62,14.23,02/26/2016 12:00:00 AM,"905 Park Plaza
Austin, TX 78753
(30.350115, -97.690543)"
Greenbriar Apartments,285920,03/01/2011 12:00:00 AM,49%,10%,N\A,Needed,1967,Yes,Gas and Electric,26,8.97,02/26/2016 12:00:00 AM,"2319 Greenfield Pkwy
Austin, TX 78741
(30.231696, -97.738505)"
Southport Street Apartments,310057,03/14/2011 12:00:00 AM,13%,10%,N\A,Needed,1983,No,Electric,14,8.09,02/26/2016 12:00:00 AM,"1205 Southport Dr
Austin, TX 78704
(30.232234, -97.775692)"
Monterone Steiner Ranch,522659,05/03/2013 12:00:00 AM,8.7%,10%,17,Complete,2001,Yes,Electric,540,9.81,02/26/2016 12:00:00 AM,"4500 Steiner Ranch Blvd
Austin, TX 78732
(30.380529, -97.877175)"
600 W 10 ST AUSTIN TX 78701,821200,04/11/2011 12:00:00 AM,38.9%,15%,12,Needed,1967,Yes,Electric,17,10.1,02/26/2016 12:00:00 AM,"600 W 10th ST
Austin, TX 78701
(30.273477, -97.747392)"
The Ancira,214691,01/05/2011 12:00:00 AM,35%,10%,17,Needed,1969,Yes,Gas and Electric,8,6.1,02/26/2016 12:00:00 AM,"313 W 41st
Austin, TX 78751
(30.305398, -97.733787)"
2206 Trailside Drive,103580,04/25/2011 12:00:00 AM,75%,10%,19,Needed,1973,No,Electric,6,10.32,02/26/2016 12:00:00 AM,"2206 Trailside Drive
Austin, TX 78704
(30.259603, -97.773088)"
Hunter'S Glen Apartments,323566,02/16/2012 12:00:00 AM,9.5%,15%,10,Complete,1984,Yes,Electric,258,14.45,02/26/2016 12:00:00 AM,"2309 Berkeley Ave
Austin, TX 78745
(30.20938, -97.805891)"
Lone Star Lofts,206213,04/29/2011 12:00:00 AM,75%,15%,N\A,Complete,1965,Yes,Electric,51,6.36,02/26/2016 12:00:00 AM,"2408 Leon St
Austin, TX 78705
(30.289004, -97.74926)"
Gateways Apartments,250294,04/19/2011 12:00:00 AM,9%,10%,11,Complete,1980,Yes,Electric,118,14.54,02/26/2016 12:00:00 AM,"1804 W Rundberg
Austin, TX 78758
(30.371452, -97.714338)"
Coulter Apartments,228854,08/31/2010 12:00:00 AM,33%,10%,12,Needed,1968,Yes,Gas and Electric,14,8.79,02/26/2016 12:00:00 AM,"5605 Woodrow Ave
Austin, TX 78756
(30.328155, -97.733315)"
Guadalupe Plaza,226676,04/25/2011 12:00:00 AM,,N\A,9,Needed,1971,No,Gas and Electric,15,8.26,02/26/2016 12:00:00 AM,"5306 Guadalupe
Austin, TX 78751
(30.320688, -97.726509)"
Enfield Court,114815,05/23/2011 12:00:00 AM,47%,10%,N\A,Needed,1960,Yes,Gas and Electric,29,5.73,02/26/2016 12:00:00 AM,"2606 Enfield Rd
Austin, TX 78703
(30.290445, -97.771831)"
Keystone Apartments,478311,04/07/2011 12:00:00 AM,18%,10%,15,Complete,1981,Yes,Electric,166,13.96,02/26/2016 12:00:00 AM,"5320 Thunder Creek Rd
Austin, TX 78759
(30.416828, -97.745815)"
Topaz,217961,07/09/2014 12:00:00 AM,75%,10%,N\A,Complete,1971,Yes,Gas and Electric,18,10.94,02/26/2016 12:00:00 AM,"4111 AVENUE
A Austin, TX 78751
(30.30664, -97.73447)"
University Commons,287990,02/02/2016 12:00:00 AM,5.3%,10%,38,Needed,1998,No,Electric,290,10.91,02/26/2016 12:00:00 AM,"1600 Wickersham
Austin, TX 78741
(30.235898, -97.718485)"
Saddle Creek Apartments,486457,11/20/2012 12:00:00 AM,13.5%,15%,19,Needed,2001,Yes,Electric,224,11.49,02/26/2016 12:00:00 AM,"10801 Old Manchaca Rd
Austin, TX 78748
(30.162351, -97.829263)"
Elevation Austin,286709,05/20/2011 12:00:00 AM,19%,15%,N\A,Complete,1969,Yes,Electric,255,11.43,02/26/2016 12:00:00 AM,"1911 Willow Creek Dr
Austin, TX 78741
(30.23408, -97.72821)"
1907 Robbins Place,112559,02/04/2011 12:00:00 AM,68%,15%,23,Complete,1965,Yes,Electric,10,6.23,02/26/2016 12:00:00 AM,"1907 Robbins Place
Austin, TX 78705
(30.284465, -97.749393)"
Pastures,303885,05/17/2011 12:00:00 AM,69%,10%,22,Complete,1973,Yes,Electric,64,9.36,02/26/2016 12:00:00 AM,"2207 S 5Th St
Austin, TX 78704
(30.245271, -97.764019)"
4501 Witham Lane,320441,05/20/2011 12:00:00 AM,75%,10%,N\A,Complete,1974,Yes,Electric,8,13.44,02/26/2016 12:00:00 AM,"4501 Witham Lane
Austin, TX 78745
(30.213458, -97.763303)"
Garner Park Apts,238184,11/09/2012 12:00:00 AM,45%,15%,18,Needed,1972,Yes,Electric,20,14.65,02/26/2016 12:00:00 AM,"8225 SAM RAYBURN DR
Austin, TX 78753
(30.347909, -97.6991)"
Austin Midtown Apartments,242303,04/29/2011 12:00:00 AM,20%,10%,30,Complete,1978,Yes,Electric,276,3.49,02/26/2016 12:00:00 AM,"2819 Foster
Austin, TX 78757
(30.35776, -97.738765)"
2813 Rio Grande St,208199,11/20/2012 12:00:00 AM,22%,10%,20,Needed,1983,No,Electric,5,11.94,02/26/2016 12:00:00 AM,"2813 RIO GRANDE ST
Austin, TX 78705
(30.294509, -97.744036)"
Plaza Ventura Apartments,291163,06/27/2011 12:00:00 AM,25%,10%,1.5,Needed,1973,Yes,Electric,48,9.22,02/26/2016 12:00:00 AM,"2414 Ventura Drive
Austin, TX 78741
(30.216964, -97.735408)"
Hickory Hill,171702,03/14/2013 12:00:00 AM,11%,10%,26,Complete,1985,Yes,Electric,8,12.25,02/26/2016 12:00:00 AM,"8404 FATHOM CIR
Austin, TX 78750
(30.434933, -97.778276)"
Amli At Scofield Ridge - Campus B,378888,05/26/2011 12:00:00 AM,43%,15%,26,Needed,1999,Yes,Electric,280,7.51,02/26/2016 12:00:00 AM,"2601 Scofield Ridge Parkway
Austin, TX 78727
(30.429652, -97.696711)"
East 20Th Street Apartments,202341,10/25/2012 12:00:00 AM,,N\A,30,Needed,2002,No,Electric,8,11.13,02/26/2016 12:00:00 AM,"1803 E 20Th
Austin, TX 78722
(30.280695, -97.722019)"
702 W. 22nd,203563,05/19/2011 12:00:00 AM,26%,10%,N\A,Complete,1978,No,Electric,5,9.98,02/26/2016 12:00:00 AM,"702 W 22nd Street
Austin, TX 78705
(30.285238, -97.7453)"
Volume,205395,05/24/2011 12:00:00 AM,46%,10%,4,Complete,1964,Yes,Electric,59,7.63,02/26/2016 12:00:00 AM,"2604 Manor Rd
Austin, TX 78722
(30.284957, -97.71498)"
Point South Apartments,287619,05/13/2011 12:00:00 AM,59%,15%,30,Complete,1973,Yes,Electric,192,9.25,02/26/2016 12:00:00 AM,"2200 Willow Creek Drive
Austin, TX 78741
(30.230068, -97.730766)"
Aristocrat Apartments,227794,03/28/2011 12:00:00 AM,28%,10%,N\A,Needed,1971,Yes,Gas and Electric,23,4.92,02/26/2016 12:00:00 AM,"5306 Woodrow Ave
Austin, TX 78756
(30.324628, -97.73551)"
Canyon Villas Apts,229278,05/21/2011 12:00:00 AM,56%,15%,15,Complete,1968,Yes,Gas and Electric,16,8.85,02/26/2016 12:00:00 AM,"7111 GRAND CANYON DR
Austin, TX 78752
(30.327796, -97.694523)"
Villas Of Bristol Heights,526814,04/09/2013 12:00:00 AM,15.2%,10%,30,Needed,2003,No,Electric,351,10.66,02/26/2016 12:00:00 AM,"12041 Dessau Rd
Austin, TX 78754
(30.381011, -97.652415)"
