Community Name,TCAD or WCAD Property ID(s),Audit Date,Percent Duct Leakage,Recommend Duct Leakage,Attic R-Value,Window Screens,Year Built,Common Wash Dryer,Utilities,Total Units,Community EUI (kWh/sqft/yr),As of,Address
Century Square,209003,05/23/2011 12:00:00 AM,70,15%,,Complete,1971,Yes,Gas and Electric,139,10.89,02/10/2014 12:00:00 AM,"3401 Red River
Austin, TX 78705
(30.293090940000468, -97.72551832899967)"
Chez Moi Luxury Apartments,262633,06/01/2010 12:00:00 AM,47,15%,30,Complete,1997,No,Gas and Electric,381,8.32,02/10/2014 12:00:00 AM,"12100 Metric Blvd
Austin, TX 78758
(30.402494851000483, -97.70153522099969)"
,109135,11/20/2012 12:00:00 AM,,N\A,,Neeed,1939,No,Gas and Electric,5,5.57,02/10/2014 12:00:00 AM,"1301 W 13 ST
Austin, TX 78703
(30.279485628000486, -97.75507290199965)"
Patton Lane Apartments,225812,09/25/2013 12:00:00 AM,11.8,15,,needed,1973,Yes,Electric,32,11.92,02/10/2014 12:00:00 AM,"1708 PATTON LN
Austin, TX 78723
(30.31878552200044, -97.68866897899966)"
Camino Real,208133,04/13/2011 12:00:00 AM,75,15%,,Needed,1968,Yes,Electric,67,8.47,02/10/2014 12:00:00 AM,"2810 Salado St
Austin, TX 78704
(30.29437365600046, -97.74513215199966)"
RIVERSIDE SQUARE,499181,05/02/2011 12:00:00 AM,10,15%,10,Needed,1974,,Electric,100,9.81,02/10/2014 12:00:00 AM,"222 E. RIVERSIDE DR.
Austin, TX 78704
(30.254564466000488, -97.74442268999968)"
Laurel Woods,171701,03/04/2011 12:00:00 AM,30,10%,20,Needed,1984,Yes,Electric,150,10.99,02/10/2014 12:00:00 AM,"8312 Fathom Cir
Austin, TX 78750
(30.435849009000435, -97.77626317299968)"
Hardrock Canyon,"154592, 375767",04/07/2011 12:00:00 AM,72,10%,17,Complete,1995,Yes,Gas and Electric,390,7.25,02/10/2014 12:00:00 AM,"10300 Jollyville Rd
Austin, TX 78759
(30.397012220000477, -97.75000244399968)"
Bristol Square Apartments,287641,03/16/2011 12:00:00 AM,20,15%,21,Needed,1987,No,Electric,336,13.13,02/10/2014 12:00:00 AM,"2336 Douglas St
Austin, TX 78741
(30.22835703600049, -97.73264610699965)"
2707 Windswept West,509356,02/04/2011 12:00:00 AM,28,10%,12,Complete,1971,No,Gas and Electric,6,9.51,02/10/2014 12:00:00 AM,"2707 WINDSWEPT CV
Austin, TX 78745
(30.22979609300046, -97.80197433499967)"
The Trees,106922,11/20/2012 12:00:00 AM,42,15%,26,Needed,1969,Yes,Electric,12,10.7,02/10/2014 12:00:00 AM,"807 BLANCO ST
Austin, TX 78703
(30.274554931000466, -97.75592449199968)"
High Oaks Apartments,"156256, 156274",04/06/2011 12:00:00 AM,46,15%,12,Needed,1983,Yes,Electric,465,13.33,02/10/2014 12:00:00 AM,"11028 Jollyville Rd
Austin, TX 78759
(30.40454388000046, -97.74768218599968)"
Hidden Gardens,228895,02/18/2011 12:00:00 AM,55,10%,,Complete,1972,Yes,Electric,70,7.85,02/10/2014 12:00:00 AM,"5604 N Lamar Blvd
Austin, TX 78751
(30.32485680400049, -97.72706635299966)"
,223386,08/09/2013 12:00:00 AM,58.9,10%,11,Needed,1968,Yes,Gas and Electric,20,13.48,02/10/2014 12:00:00 AM,"6201 BERKMAN DR
Austin, TX 78723
(30.315905037000448, -97.69141444099967)"
Cricket Hollow Apartments,501175,06/16/2011 12:00:00 AM,17,10%,13,Complete,1986,Yes,Electric,372,9.32,02/10/2014 12:00:00 AM,"11441 IH 35 North
Austin, TX 78753
(30.371744244000467, -97.6805695279997)"
Sand Piper Apartments,216557,02/25/2011 12:00:00 AM,,N\A,,Needed,1965,Yes,Electric,13,6.84,02/10/2014 12:00:00 AM,"1313 E 52nd St
Austin, TX 78723
(30.308105700000453, -97.70469285599967)"
Northland at the Arboretum,158152,04/18/2011 12:00:00 AM,48,15%,21,Needed,1993,Yes,Electric,348,10.91,02/10/2014 12:00:00 AM,"11500 Jollyville Rd
Austin, TX 78759
(30.41515619000046, -97.74801737399969)"
Oak Ridge Apartments,131191,04/21/2011 12:00:00 AM,11,15%,21,Needed,1978,Yes,Electric,253,7.68,02/10/2014 12:00:00 AM,"3517 North Hills Dr
Austin, TX 78731
(30.349466467000468, -97.75486444499967)"
Denson Apartments,"230101, 230102",11/02/2012 12:00:00 AM,43,15%,,Needed,1968,Yes,Electric,22,11.83,02/10/2014 12:00:00 AM,"706 W DENSON DR
Austin, TX 78752
(30.329926078000483, -97.72265798099966)"
Greenbriar Apartments,285920,03/01/2011 12:00:00 AM,49,10%,,Needed,1967,Yes,Gas and Electric,26,8.31,02/10/2014 12:00:00 AM,"2319 Greenfield Pkwy
Austin, TX 78741
(30.231826172000467, -97.73840352199966)"
Metropolis,286710,02/17/2011 12:00:00 AM,31,15%,,Needed,1973,Yes,Gas and Electric,306,8.92,02/10/2014 12:00:00 AM,"2200 S Pleasant Valley Rd
Austin, TX 78741
(30.23149907600049, -97.72532169999965)"
The Arts at Turtle Creek,325496,02/09/2011 12:00:00 AM,3.7,10%,10,Needed,1984,No,Electric,96,13,02/10/2014 12:00:00 AM,"714 Turtle Creek Blvd
Austin, TX 78745
(30.203947539000467, -97.7842626749997)"
Austin Gardens,235151,06/13/2013 12:00:00 AM,10.6,15%,30,Needed,1973,Yes,Electric,150,7.95,02/10/2014 12:00:00 AM,"7401 N LAMAR BLVD
Austin, TX 78752
(30.341084400000454, -97.71673474799968)"
Pennfield Court,313582,05/18/2011 12:00:00 AM,22,10%,19,Needed,1982,No,Electric,28,12.5,02/10/2014 12:00:00 AM,"439 Woodward St.
Austin, TX 78704
(30.227145385000483, -97.75503263199965)"
Woodmoor,306031,05/06/2011 12:00:00 AM,40,15%,6,Complete,1981,Yes,Electric,208,9.98,02/10/2014 12:00:00 AM,"3505 S. Lamar Blvd
Austin, TX 78704
(30.239617217000443, -97.78787393999966)"
Littlefield House,208147,05/23/2011 12:00:00 AM,11.6,15%,3,Complete,1984,No,Electric,16,11.73,02/10/2014 12:00:00 AM,"2608 RIO GRANDE ST
Austin, TX 78705
(30.291293007000434, -97.74436228599967)"
Alpine West Apartments,309741,01/28/2011 12:00:00 AM,59,10%,4,Needed,1974,Yes,Gas and Electric,24,11.64,02/10/2014 12:00:00 AM,"412 Alpine Rd
Austin, TX 78704
(30.229945329000486, -97.76506813299966)"
Bridge Hollow,286252,05/13/2011 12:00:00 AM,45,15%,,Complete,1972,Yes,Electric,144,8.96,02/10/2014 12:00:00 AM,"1910 Willow Creek Dr
Austin, TX 78741
(30.232386397000482, -97.72933568199966)"
The Arboretum at Stonelake,"461012, 461010",04/11/2011 12:00:00 AM,41,15%,14,Needed,1994,,Gas and Electric,409,10.15,02/10/2014 12:00:00 AM,"9801 Stonelake Blvd
Austin, TX 78759
(30.388759254000433, -97.73881688099965)"
Cherry Creek,511097,01/24/2011 12:00:00 AM,29,15%,17,Needed,1985,Yes,Electric,72,12.92,02/10/2014 12:00:00 AM,"2048 West Stassney
Austin, TX 78745
(30.21649399000046, -97.79912464599965)"
Gables West Avenue,487162,04/22/2011 12:00:00 AM,45,15%,25,Needed,2001,Yes,Gas and Electric,194,5.88,02/10/2014 12:00:00 AM,"300 West Avenue
Austin, TX 78701
(30.26797198200046, -97.75145926799968)"
Lantern Lane,203794,11/22/2012 12:00:00 AM,37,10%,,Needed,1982,No,Electric,14,10.21,02/10/2014 12:00:00 AM,"2008 SAN ANTONIO ST
Austin, TX 78705
(30.283153745000448, -97.74311273299969)"
Robbins Place Apartments,112501,05/26/2011 12:00:00 AM,30,10%,,Needed,1986,No,Electric,8,9.15,02/10/2014 12:00:00 AM,"1904 Robbins Place
Austin, TX 78705
(30.284333416000436, -97.74944221899966)"
Hancock Square Apartments,211832,05/05/2011 12:00:00 AM,21,15%,35,Needed,1981,No,Electric,16,5.08,02/10/2014 12:00:00 AM,"924 E. 40 Street
Austin, TX 78751
(30.29770540000044, -97.72076766199967)"
Wesson Oaks,228830,04/03/2010 12:00:00 AM,26.1,10%,11,Needed,1984,Yes,Electric,8,13.78,02/10/2014 12:00:00 AM,"5626 WOODROW AVE
Austin, TX 78756
(30.328786675000458, -97.7329256269997)"
ENFIELD ARMS,109057,12/06/2012 12:00:00 AM,13.8,10%,28,Complete,1948,Yes,Electric,10,5.73,02/10/2014 12:00:00 AM,"1409 ENFIELD RD
Austin, TX 78703
(30.281797595000455, -97.75586763999968)"
South Point Village,512613,10/06/2010 12:00:00 AM,22,15%,30,Complete,1984,Yes,Electric,176,11.11,02/10/2014 12:00:00 AM,"6808 S. IH-35
Austin, TX 78745
(30.20688170000045, -97.7956469989997)"
The Regency,196698,09/28/2010 12:00:00 AM,75,15%,,Needed,1959,Yes,Electric,30,6.54,02/10/2014 12:00:00 AM,"601 West 11th St.
Austin, TX 78701
(30.274413986000468, -97.74726882699969)"
The Park at Monterey Oaks (formerly Sedona Springs),464973,04/04/2011 12:00:00 AM,37,15%,14,Complete,1994,No,Gas and Electric,430,10.77,02/10/2014 12:00:00 AM,"4201 Monterey Oaks
Austin, TX 78749
(30.229285613000457, -97.83457402499965)"
1500 Elton,114196,11/05/2012 12:00:00 AM,35,10%,15,Needed,1964,No,Gas and Electric,14,12.04,02/10/2014 12:00:00 AM,"2400 ENFIELD RD
Austin, TX 78703
(30.28867546100048, -97.76880612999969)"
Arbor Pointe Apartments,289156,05/04/2011 12:00:00 AM,9,10%,19,Needed,1985,Yes,Electric,176,14.39,02/10/2014 12:00:00 AM,"2317 S. Pleasant Valley
Austin, TX 78741
(30.229494069000452, -97.72641492699967)"
Cliff House Apartments,282995,05/23/2011 12:00:00 AM,37,10%,,Needed,1972,Yes,Electric,18,13.39,02/10/2014 12:00:00 AM,"513 Pecan Grove Rd
Austin, TX 78704
(30.24894325900044, -97.74373099599967)"
Adela Apartments,193469,05/05/2011 12:00:00 AM,9,10%,42,Needed,1987,Yes,Electric,12,11.43,02/10/2014 12:00:00 AM,"2306 E. 8th
Austin, TX 78702
(30.26323552800045, -97.71591276799967)"
502 and 504 Elmwood Place,"208668, 208667",11/09/2012 12:00:00 AM,14,10%,11,Needed,1971,Yes,Electric,18,9.41,02/10/2014 12:00:00 AM,"504 ELMWOOD PL
Austin, TX 78705
(30.290855959000453, -97.73397856799966)"
Villa Esperanza,217990,02/01/2011 12:00:00 AM,21,10%,1,Needed,1972,Yes,Gas and Electric,29,9.98,02/10/2014 12:00:00 AM,"4310 Ave B.
Austin, TX 78751
(30.308397065000463, -97.73217589499967)"
Enfield Court,114815,05/23/2011 12:00:00 AM,47,10%,,Needed,1960,Yes,Gas and Electric,29,5.48,02/10/2014 12:00:00 AM,"2606 Enfield Rd
Austin, TX 78703
(30.290435494000462, -97.77175649499969)"
Lamar Court,230097,05/23/2011 12:00:00 AM,30,10%,1,Needed,1969,Yes,Gas and Electric,31,4.8,02/10/2014 12:00:00 AM,"709 Lamar Pl
Austin, TX 78752
(30.331175630000473, -97.72197339199965)"
Northland Great Hills,156306,04/08/2011 12:00:00 AM,36,15%,14,Complete,1985,Yes,Electric,343,13.15,02/10/2014 12:00:00 AM,"10610 Morado Circle
Austin, TX 78759
(30.403878241000484, -97.75196264199968)"
The Rosewood,112445,02/01/2011 12:00:00 AM,,N\A,1,Needed,1972,No,Electric,8,5.92,02/10/2014 12:00:00 AM,"1011 W 23 ST
Austin, TX 78705
(30.28722337600044, -97.7489033119997)"
Melroy Apartments,212980,02/22/2010 12:00:00 AM,,N\A,24,Needed,1972,Yes,Electric,12,9.39,02/10/2014 12:00:00 AM,"3408 Speedway
Austin, TX 78705
(30.298757156000477, -97.73473658899968)"
The Hallmark Apartments,212497,04/30/2011 12:00:00 AM,22,10%,,Needed,1967,Yes,Gas and Electric,16,7.73,02/10/2014 12:00:00 AM,"710 W. 34th St.
Austin, TX 78705
(30.30141615500048, -97.7419899139997)"
310 Radam Lane,312586,05/24/2011 12:00:00 AM,24,10%,12,Needed,1942,No,Gas and Electric,8,9.97,02/10/2014 12:00:00 AM,"310 Radam Lane
Austin, TX 78704
(30.223105364000446, -97.76839869299965)"
Grand Oak Apartments,206884,06/04/2011 12:00:00 AM,70,15%,24,Needed,1999,No,Electric,27,13.98,02/10/2014 12:00:00 AM,"2901 SWISHER ST
Austin, TX 78705
(30.288264471000446, -97.72591510699965)"
5219 Tahoe Trail,510233,01/31/2014 12:00:00 AM,4.6,10%,,Needed,1979,Yes,Electric,12,18.51,02/10/2014 12:00:00 AM,"5219 Tahoe Trail
Austin, TX 78745
(30.224465066000448, -97.80413351399966)"
Spanish Village,114290,04/30/2011 12:00:00 AM,16,15%,,Needed,1960,Yes,Electric,13,8.57,02/10/2014 12:00:00 AM,"2210 Enfield Rd.
Austin, TX 78703
(30.287685295000472, -97.76713611299965)"
Del Salado Apartments,"208067, 208068",03/16/2011 12:00:00 AM,29,10%,6,Needed,1966,No,Gas and Electric,28,7.33,02/10/2014 12:00:00 AM,"2612 Salado St.
Austin, TX 78705
(30.29196338300045, -97.74526243699967)"
South Hill Apartments,310124,05/26/2011 12:00:00 AM,52,15%,,Complete,1972,Yes,Gas and Electric,42,8.74,02/10/2014 12:00:00 AM,"3819 Southway Dr
Austin, TX 78704
(30.23109065300048, -97.7760203689997)"
Arbors of Austin,249161,05/11/2011 12:00:00 AM,15,10%,8,Needed,1984,Yes,Electric,226,13.85,02/10/2014 12:00:00 AM,"1070 Mearns Meadow
Austin, TX 78758
(30.369244922000462, -97.69981308899969)"
Sierra Ridge Apartments,316665,03/20/2011 12:00:00 AM,10,10%,27,Complete,1970,Yes,Electric,147,5.38,02/10/2014 12:00:00 AM,"201 W. St. Elmo St.
Austin, TX 78745
(30.219035733000453, -97.76874335699966)"
4312 DUVAL ST,215993,10/29/2012 12:00:00 AM,22,10%,5,Needed,1968,Yes,Gas and Electric,14,7.43,02/10/2014 12:00:00 AM,"4312 DUVAL ST
Austin, TX 78751
(30.30544670100045, -97.72560597599966)"
Broadway Condominiums,312502,03/10/2011 12:00:00 AM,21,10%,15,Needed,1984,Yes,Electric,28,12.98,02/10/2014 12:00:00 AM,"511 Woodward St
Austin, TX 78704
(30.22679479900046, -97.75432316999968)"
Bonaventure,227795,03/29/2011 12:00:00 AM,75,15%,,Needed,1972,Yes,Electric,24,9.62,02/10/2014 12:00:00 AM,"1410 W. North Loop
Austin, TX 78756
(30.32464598000047, -97.73681878099967)"
EnglishAire,286255,05/19/2011 12:00:00 AM,9.5,15%,12,Needed,1978,Yes,Electric,236,10.4,02/10/2014 12:00:00 AM,"1919 Burton Dr
Austin, TX 78741
(30.23430632500049, -97.73097608899968)"
Pinto Creek,287933,05/12/2011 12:00:00 AM,14,10%,10,Needed,1984,Yes,Electric,248,11.65,02/10/2014 12:00:00 AM,"2207 Wickersham
Austin, TX 78741
(30.228981220000435, -97.72144869799968)"
2710 South 1st Street,305737,05/04/2011 12:00:00 AM,75,15%,,Needed,1981,No,Electric,12,11.12,02/10/2014 12:00:00 AM,"2710 South 1st Street
Austin, TX 78704
(30.237317094000446, -97.76271589599969)"
HAHN PATRICIA FIEDLER LIVING TRUST,255136,01/21/2011 12:00:00 AM,38,10%,15,Complete,1978,No,Electric,8,10.81,02/10/2014 12:00:00 AM,"10303 Golden Meadows DR
Austin, TX 78758
(30.380352315000437, -97.71100694399968)"
Highland Square,232320,12/18/2012 12:00:00 AM,28,10%,,Needed,1972,Yes,Gas and Electric,14,9.28,02/10/2014 12:00:00 AM,"6906 GUADALUPE ST
Austin, TX 78752
(30.33543713600045, -97.71599567699968)"
Highland Hill Country,511982,11/07/2012 12:00:00 AM,41,15%,18,Complete,2000,Yes,Gas and Electric,444,7.67,02/10/2014 12:00:00 AM,"3014 W WILLIAM CANNON DR
Austin, TX 78745
(30.209895644000483, -97.8214176029997)"
Addington Apartments,"285039, 285041",05/18/2011 12:00:00 AM,40,15%,,Complete,1972,Yes,Electric,84,12.27,02/10/2014 12:00:00 AM,"2520 Elmont Dr
Austin, TX 78741
(30.23921570200048, -97.72041826199967)"
Cherry Hill Townhomes,154805,04/20/2011 12:00:00 AM,19,10%,12,Complete,1985,No,Electric,19,10.07,02/10/2014 12:00:00 AM,"9201 Simmons Rd
Austin, TX 78759
(30.39464340000046, -97.7646026599997)"
Shady Oaks Apartments,306032,11/30/2012 12:00:00 AM,34,15%,12,Needed,1979,Yes,Electric,14,14.23,02/10/2014 12:00:00 AM,"3712 MANCHACA RD
Austin, TX 78704
(30.236366587000475, -97.7841824199997)"
Bouldin Creek,100282,01/06/2011 12:00:00 AM,51,10%,7,Needed,1966,Yes,Gas and Electric,46,8.35,02/10/2014 12:00:00 AM,"1329 West Mary
Austin, TX 78704
(30.249264233000474, -97.76677368299966)"
Arrowhead Park Apartments,250476,08/09/2011 12:00:00 AM,40.8,15%,11,Needed,1996,Yes,Gas and Electric,290,9.72,02/10/2014 12:00:00 AM,"605 MASTERSON PASS
Austin, TX 78753
(30.37036537300048, -97.69066115599969)"
